Lost Art ID;Hersteller/Künstler/Autor:in;Titel;Datierung;Beschreibung;namen_neu;Q_Nummer;datum_neu;datum_alt;spalte
595939;"Greuze, Jean Baptiste (zugeschrieben) [Künstler:in]
Jean Louis David [Künstler:in]";Portret van een oude dame / Damenporträt;;"ältere vornehme Frau in weißem Kleid, silbergrauem Seiden-Überwurf, weißer blaubebänderten Spitzenhaube, sitzt, die Hände im Schoß zusammengelegt, auf einem Stuhl, leicht nach links gewendet, den linken Arm auf ein Rosenholztischchen gelehnt; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Jean Baptiste Jean Louis David Greuze (?);;0;0;1
579033;Baalen, Hendrick van [Künstler:in];Allegorie des Sehen, oder Venus und Amor in einer Galerie von Gemälden, Skulpturen und Antiquitäten;;Literatur: Hrady a Zámky, Petr Pavelec (ed.) (ISBN 978-80-87890-05-9), mit Abb.;Hendrick van Baalen;;0;0;1
577678;Crodel, Charles [Künstler:in];Straße nach Gesundaberget (Schweden);1923 [Datierung];"Bez. links unten: Ch. Crodel 23; Viehbetrieb in einem schwedischen Gebirgsdorf. Reale wie gleichsam phantastisch verdichtende Komposition im kontrastierenden Gegeneinander von saftigem Grün und bedrohlichem Dunkelblau. Gehöht in Rosa bis Braunrot; einen Freiraum von Straße und Baulichkeiten des Bildzentrum gibt eine lehmgelbe Holzhütte. Mensch und Tier dargestellt im Spiel magischer Verbundenheit. Eine naturgesättigte Idylle basierend, auf starker seelischer Erregung.";Charles Crodel;Q313995;1923;0;1
584917;Lint, Hendrik Frans van [Künstler:in];Ital. Landschap / Römische Landschaft;;"Auf einem Hügel in der Mitte ein Kastell und Durchblick auf das Meer. Zwei Schäfer, die ihre Herde heimtreiben. Von einem Hang rechts fällt ein Wasserfall, links hohe Bäume; Durchblick auf mehrere Bergkastelle im Mittelgrund. Auf einem Weg über eine gewölbte Brücke links mehrere Staffagefiguren; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Hendrik Frans van Lint;Q5713870;0;0;1
460540;Sperl, Johann [Künstler:in];Auf der Gänseweide / Gänsemädchen;;nicht bezeichnet;Johann Sperl;Q1696268;0;0;1
573872;Piazzetta, Giambattista [Künstler:in];Mädchenbildnis;;Mädchen in fast noch kindlichem Alter. Rotes tief ausgeschnittenes Kleid mit pelzverbrämtem Ausschnitt. Hochblondes Haar, lächelnder Gesichtsausdruck. Mit der Rechten hält sie eine rote Aster hoch. Lebensgroßes Brustbild. Quelle: Lempertz Auktion, Gemälde Alter Meister, Porzellan / Fayence, Katalog 403, Lot 41;Giambattista Piazzetta;;0;0;1
577682;"Hofer, Karl (1878) [Künstler:in]
Hofer, Karl (1886) [Künstler:in]";Mädchen auf einem Stuhl sitzend (Sitzendes Mädchen);;"bez. unten links: C H; auf gelbbraunem Stuhl gelb gekleidetes Mädchen mit grünen Strümpfen, en face sitzend, den rechten Arm über die Stuhllehne gelegt. Mit zusammengefassten Händen. Dunkelbraunes Haar. Braune Konturen, braune Innenzeichnung. Lilaviolett als Gegenton auch im Hintergrunde.";;;0;0;1
579031;Hamilton, Philipp Ferdinand de [Künstler:in];Gimpel und drei Wacholderdrosseln;1742 [Datierung];Literatur: The Hamilton Brothers- aristocratic hunting paintings in the 18th Century, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.;Philipp Ferdinand de Hamilton;Q3379112;1742;0;1
534389;Skarbina, Franz [Künstler:in];Straßenbild mit Hundewagen;1904 [Datierung];auch: Ölskizze.;Franz Skarbina;Q559023;1904;0;1
596159;Ruysch, Rachel [Künstler:in];Bloemstukje (Bloemen) / Blumenstück;;"auf der Rückseite Aufkleber mit Inventarnummer und Siegel; orangefarbene, weiße und rote Blumen auf einem Tisch: Dahlien, Rosen, Klatschmohn. Auf einem Zweig sitzt unten ein bunter Falter, in einer weißen Blume ein Käfer, ein zweiter über einer blauen; ferner eine Libelle";Rachel Ruysch;Q234385;0;0;1
302428;Moll, Oskar [Künstler:in];Stillleben mit Vase, Krug, Blumenstrauß;;signiert;Oskar Moll;Q453349;0;0;1
583623;Liscewsky (Familie) [Künstler:in];Damenbildnis;;unbezeichnet;Liscewsky Familie;;0;0;1
438015;Manet, Edouard [Künstler:in];Reiterbildnis des Herrn Arnaud;1875 (um) [Datierung];bez. unten rechts: Manet;Edouard Manet;Q47508408;0;1875;1
522245;Cuyp, Benjamin Gerritsz. [Künstler:in];Soldaten;;"This painting is discussed in letters from Stern to Dr. Hans Schneider (RKD) dated 18 April 1936 and from Schneider to Stern dated 21 April 1936.Die Weltkunst (Ausstellungen der Woche), Jahrg. X, Nr. 43 vom 1. November 1936; Jahrg. X, Nr. 44 vom 8. November 1936.Galerie Stern documents indicate that the painting was still with Galerie Stern on January 20, 1937.";Benjamin Gerritsz Cuyp;Q552910;0;0;1
444928;Feuerbach, Anselm [Künstler:in];Hohlweg bei Rom;1871/1872 [Datierung];"Ein Weg führt an einem Felsen unter Bäumen an einer Felsschlucht vorbei ins Freie; bez. unten links „A. F.“ in Form eines Monogramms";Anselm Feuerbach;Q250194;1871;0;1
308002;Gérard, Marguerite [Künstler:in];Damenbildnis;;Halbfigurenbildnis einer sitzenden Dame en face, in schwarzem Gewand und Hut, vor sich ein braunweißes Hündchen. Rote Stuhllehne. Oval. Goldrahmen.;Marguerite Gérard;Q271484;0;0;1
594423;Rotari, Pietro Antonio (Conte) [Künstler:in];Bergsteigerin;;verso ggfs. alte Schlossinventarnummern und Besitzvermerke: Königlich-sächsische Secondogenitur oder Königliche Garde-Meubles-Verwaltung;Pietro Antonio Conte Rotari;;0;0;1
308675;Dael, B. van [Künstler:in];Blumen- und Früchtestilleben;;Auf einem Tisch liegt eine rote, mit goldener Borte eingefaßte Decke, auf der ein reiches hellfarbiges Stilleben aus Rosen, Tulpen, Äpfeln, Pfirsichen, Pflaumen, Weintrauben und anderen Blumen und Früchten aufgebaut ist. Rechts ein Vogelnest mit Eiern, in der Mitte vorn ein Schmetterling. Grauer Grund. Links unten voll bezeichnet B. van Dael. Goldener Rahmen.;B van Dael;;0;0;1
577676;Bouquet, Louis [Künstler:in];Selbstbildnis;;"Monogramm; Kopf en face, auf Helldunkel-Gegensätzen aufgbaut, gelb-bräunliche Skala zu fahlem Oliv. Die tiefsten Schatten liegen auf der rechten Gesichtshälfte und unter dem Kinn. Ein besonderer Strang über dem eindrucksvollen, markant charakteriesierten Gesicht.";Louis Bouquet;;0;0;1
580677;Levy, Rudolf [Künstler:in];Blaue Blumen;;;Rudolf Levy;;0;0;1
596648;Pechstein, Max [Künstler:in];Wald;1919 [Datierung];"bez. rechts unten: H M P (zusammen) 1919; von links nach rechts sich neigender Hang mit Kieferbäumen, Tiefrot, Blau und Blaugrün die Stämme auf dem in Grün, Gelbrot und Violett leuchtendem Boden. Dunkelblauer Himmel durch die zu grünen Kolben zusammengefassten Kieferbüschel;Laut der Angaben im Werkverzeichnis von A. Soika zu den Gemälden Max Pechsteins zu der WVZ-Nummer 1919/29 „Kiefernwald“, ähnelt das unter WVZ 1919/29 beschriebene Gemälde der Bildbeschreibung zu dem im Sammlungsinventar Littmann unter der Nr. 251 eingetragene Gemälde „Wald“. Zitat Werkverzeichnis Soika, Nr. 1919/29 („Kiefernwald“):  „Das Gemälde ähnelt der Bildbeschreibung von ‚Wald‘ im Sammlungsinventar Littmann.""  (mit Abb.). Eine Werkidentität ist demnach nicht zweifelsfrei feststellbar, kann aber auch nicht ausgeschlossen werden.";Max Pechstein;Q162105;1919;0;1
406121;Thoma, Hans [Künstler:in];Meerwunder;1885 [Datierung];bez. H.Th.1885, vier junge Meergötter tauchen mit halbem Leibe auf und halten in einer Muschel ein kleines Geflügeltes Wesen, auf der Rückseite Motiv Mutter und Kind;Hans Thoma;Q678094;1885;0;1
595957;Sánchez Coello, Alonso [Künstler:in];Jongenportret (Jongenkop) / Porträt eines Jungen;;"Porträt eines jungen Mannes. Braunes Kostüm mit filigranen Ärmeln. Reicher Spitzenkragen. Sehr offenes Gesicht, mit rosa Lippen. Schönes dunkelblondes Haar. Der junge Mann schaut den Betrachter an; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Alonso Sánchez Coello;Q503386;0;0;1
584739;Dyck, Anton van [Künstler:in];Biddende Apostel / Betender Apostel;;;Anton van Dyck;;0;0;1
469978;Tischbein, Johann Heinrich Wilhelm (1751) [Künstler:in];Vestalin und Bacchantin;1790 [Datierung];Brustbilder, ein Paar Gegenstücke: die Vestalin in weißem Gewand und Kopftuch, ein Bronzekännchen in den Händen, in die Feuerschale blickend. - Die Bacchantin nackt, das weinlaubgeschmückte Haar herabhängend, bez.: W.T 1790;Johann Heinrich Wilhelm Tischbein;Q213973;1790;0;1
313785;Hooch, Pieter de [Künstler:in];Das Marktgeld;1675/1680 (um) [Datierung];Interieur mit drei Frauenfiguren;Pieter de Hooch;Q314889;1675;0;1
585638;Stoop, Dirck [Künstler:in];Grot / Felsenhöhle;;"Signiert; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Dirck Stoop;Q2149283;0;0;1
583692;Weisgerber, Carl [Künstler:in];Schnepfenstilleben;;bezeichnet;Carl Weisgerber;Q15444812;0;0;1
589416;Slevogt, Max [Künstler:in];Pferdebändigung (Der Hengst);1907 [Datierung];"bez. M. S. 07 (unten rechts); Gemälde mit Goldrahmen;„1913 schreibt Eduard Fuchs an Max Slevogt: >Ich liege auf meiner Chaiselongue in meinem Arbeitszimmer und träume. Über mir bäumt sich der Hengst<. Die Gewitterszene aus dem vorstehenden Gemälde (MS 32) wird jetzt herangezoomt. Im Mittelpunkt ein fast auf den Hinterbeinen stehender Rappe, der verängstigt vom Gewittergrollen und einschlagenden Blitzen sich nicht mehr beruhigen lässt. Zwei Rossknechte versuchen ihn an den Zügeln wieder auf den Boden zu bringen. Zwei weitere Helfer versuchen ebenfalls ihr Glück – vergebens. Paul Westheim notiert zu dieser Momentaufnahme: >Diese kleinformatigen, von Blitzen überzuckten Tafeln Slevogts – ein Hengst, der pechschwarz aufsteigt … sind ein unvergleichliches schönes Feuerwerk“<. Am rechten Bildrand steht ein Schimmel, der gestreichelt wird und sich wieder beruhigt hat, die Harmonie zwischen Tier und Mensch wurde wiederhergestellt“. (UW)";Max Slevogt;Q703356;1907;0;1
576414;Welsch, Charles Feodor [Künstler:in];Segelboote und Gondel auf der Lagune von Venedig;;Bezeichnet: F. C. Welsch 1875. Quelle: Kunsthaus Heinrich Hahn: Sammlung V. O., Gemälde, Möbel des 18. Jahrhunderts, Metallarbeiten, aus verschiedenem Privatbesitz, Gemälde alter Meister, Gemälde und Handzeichnungen. Auktion vom 07.-08.05.1940 (Katalog Nr. 61). Frankfurt a. M. 1940. Kat. Nr. 93.;Charles Feodor Welsch;Q17521946;0;0;1
469968;Maulbertsch, Franz Anton (auch Maulpertsch) [Künstler:in];Verkündigung;;;Franz Anton auch Maulpertsch Maulbertsch;;0;0;1
572480;Corinth, Lovis [Künstler:in];Venus mit Helm und Mantel des Mars;1906 [Datierung];"lt. Werkverzeichnis Corinth, Nr. 323: Mantel dunkelblau. Der Hintergrund goldgelb, mit roten und blauen Ornamenten. SpachteltechnikAusstellungen: P. Cassirer, Berlin, 1907; Kunst-Ausstellung, Düsseldorf, 1907, Nr. 162, mit Abb.; P. Cassirer, Berlin, 1909; Berliner Sezession, 1913, Nr. 99; Kunstsammlung Stadt Königsberg, 1924";Lovis Corinth;Q157610;1906;0;1
595975;Gelder, Arent de [Künstler:in];Alter weißbärtiger Mann;;"alter weißbärtiger Mann in braunem Rock, schwarzer pelzbesetzter Schaube und brauner Mütze. Gebückt stehende Hüftfigur, die rechte Hand im Redegestus erhoben; auf der Rückseite Aufkleber mit Inventarnummer und Siegel ;";Arent de Gelder;Q19034;0;0;1
319374;Naiveu, Matthys [Künstler:in];Markszene auf der Piazza del Quirinale in Rom;1698 [Datierung];"signiert und datiert unten rechts: r.o. en ged. 1698; Dr. Max Stern Galerie-Inventar, Nr. 23http://www.concordia.ca/arts/max-stern/missing-works/stern-inventory-1936-37/2.html";Matthys Naiveu;;1698;0;1
586783;Flatter, Joseph Otto [Künstler:in];Stilleben;;;Joseph Otto Flatter;Q131937956;0;0;1
581559;Blechen, Karl [Künstler:in];Italienische Landschaft;;Italienische Landschaft mit Brücke und krugtragender Frau, im Hintergrund auf Felsen Schloss.;Karl Blechen;;0;0;1
530014;Klengel, Johann Christian [Künstler:in];Italienische Küstenlandschaft bei Abendbeleuchtung;;Im Vordergrund unter einer hohen Baumgruppe Hirtin mit Schafherde. Klengel, Johann Christian - zugeschrieben;Johann Christian Klengel;Q1692942;0;0;1
582643;Belay, Pierre de [Künstler:in];Marine;;kleines Gemälde, bezeichnet;Pierre de Belay;Q3386939;0;0;1
306018;Bonheur, Rosa [Künstler:in];Afrikanischer Löwe;;bezeichnet;Rosa Bonheur;Q241732;0;0;1
585167;Mignard, Pierre (1) [Künstler:in];Portret van Maria Mancini / Porträt Maria Mancini;;"Maria Mansini in halber Länge, die linke Hand stützt ihr Kinn, die rechte spielt mit einem Blumenbündel. Sie ist in ein graues Kleid mit blauem Gewand gekleidet. Im Hintergrund Baumgruppe mit nach links sehenden Putten; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Pierre Mignard;Q3386289;0;0;1
310629;Courbet, Gustave [Künstler:in];Meeresbrandung;;signiert;Gustave Courbet;Q34618;0;0;1
579064;Hannl, Maximilian [Künstler:in];Portrait der Fürstin Eleonore Amalie zu Schwarzenberg und ihres Sohnes Josef Adam;1730 [Datierung];Literatur: Proměny zámku a parku Červený Dvůr, Kateřina Cichrová (ed.) (ISBN 978-80-87890-27-1), mit Abb.;Maximilian Hannl;;1730;0;1
527269;"Nauwincx, Herman (heutige Zuschreibung) [Künstler:in]
Everdingen, Allart van (Zuschreibung zum Zeitpunkt der Auktion 1941) [Künstler:in]
Hondius, Abraham (Zuschreibung zum Zeitpunkt der Auktion 1929) [Künstler:in]";Bild einer nordischen Felslandschaft mit rotem Vorhang;;"weitere Zuschreibungen: Jan van Aken ; Pieter de Molijn; weitere Titel: Durch eine Fensteröffnung mit rotem Vorhang Ausblick auf ein Felstal; Berglandschaft mit trompe l'oeilLiteratur: Walther Bernt. Die Niederländischen Maler des 17. Jahrhunderts, München 1962, Nr. 205Vgl. RKD Nederlands Instituut voor Kunstgeschiedenis: Externer Link";;;0;0;1
591741;Achenbach, Oswald [Künstler:in];Italienische Küstenlandschaft;;"mit Fischerbooten und Fischerfamilien, Abendstimmung; G.-R.; signiert";Oswald Achenbach;Q76415;0;0;1
578977;Hamilton, Johann Georg de [Künstler:in];"Gesatteltes dunkelgraues Pferd ""Bonne Force""";1705 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Johann Georg de Hamilton;Q12059431;1705;0;1
578961;Hamilton, Philipp Ferdinand de [Künstler:in];Fasane und ein weisser Hase;1731 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Philipp Ferdinand de Hamilton;Q3379112;1731;0;1
534369;Frenzel, C. [Oskar?] [Künstler:in];Große Landschaft mit Kühen am Wasser;;Quelle: PL - AP Wrocław, RW, I/16886.;C Frenzel (?);;0;0;1
444929;Fyt, Jan [Künstler:in];Hunde stellen einen Wasservogel;;Im linken Vordergrund sitzt auf einem gelben Stein der große schwarze Vogel und wehrt mit schlagenden Flügeln und geöffnetem Schnabel zwei angreifende gelbweiße Hühnerhunde, die mit geöffnetem Rachen durch ein Wasser heranwaten und nur zu einem Drittel sichtbar sind. Hinter diesen ein großer Distelbusch und ein Baumstamm, der vom oberen Bildrand überschnitten wird. Der Hintergrund wird von einem Wasser, einer Stadtansicht und einem hellgrauen Himmel mit einigen Sonnendurchblicken gebildet.;Jan Fyt;Q624802;0;0;1
308691;Graff, Anton [Künstler:in];Charlotte von Schönberg;;Charlotte von Schönberg, geb. Gräfin von Hoym. Die in Lebensgröße dargestellte ist von vorn gesehen und blickt den Beschauer an. Das rötlichbraune pelzbesetzte Seidengewand ist an den Ärmeln mit Spitzen und am Hals mit grünen Schleifen verziert. In der rechten Hand, die auf einen Tisch gestützt ist, hält sie ein Etui. Links geraffter roter Vorhang. Grüner Hintergrund. Goldener Rahmen. Aus norddeutschen Adelsbesitz.;Anton Graff;Q310213;0;0;1
576420;Rumpf, Paul Emil [Künstler:in];Schwarze Besatzung in Königstein;;"Quelle: D - HHStaW, Abt. 460 LG Ffm 2 WiK 6223D - HHStaW, Abt. 460 LG Ffm 2 WiK 6223; ""Aufstellung, über das in der Villa des Herrn Rudolf von Goldschmidt-Rothschild, Königstein in Taunus gewesene Inventar usw."" S.9. In: D - HHStaW, Abt. 460, LG Ffm 2 WiK 3357-58";Paul Emil Rumpf;;0;0;1
583586;Dederichs, J. [Künstler:in];Dorfstraße mit Ochsengespann;;bezeichnet;J Dederichs;;0;0;1
584378;Cabezalero, Juan Martín [Künstler:in];Alleg. o. h. leven Kard. Pasqual d´Aragon / Die Allgorie des Lebens des Kardinals Pasqual d' Aragon;;"Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";Juan Martín Cabezalero;Q8480623;0;0;1
308023;Pannini, Giovanni Paolo [Künstler:in];Ruinenlandschaft;;Links hochstrebende Architektur mit Herkulesbildwerken, rechts Reste einer Tempelfassade und Bogenarchitektur, Mitte Sarkophag. Reiche Figurenstaffage. Goldrahmen. Ausgestellt als Leihgabe im Kaiser-Friedrich-Museum Berlin 1931/1932.;Giovanni Paolo Pannini;Q286670;0;0;1
576488;Waldmüller, Ferdinand Georg [Künstler:in];Der junge Laienbruder / Der junge Laienbruder vor der Kirche (Der Mönch);1841 [Datierung];"signiert und datiert: Waldmüller 1841Literatur: Ausstellungskatalog ""Deutsche Malerei in Österreich. Von Waldmüller bis Faistauer"", Galerie Welz, Salzburg (Sommer 1938, Kat. Nr. 103: Ferdinand Georg Waldmüller, ""Der Laienbruder"" (Abb.); Bruno Grimschitz, Ferdinand Georg Waldmüller, Salzburg 1957, S. 331, Nr. 598; Rupert Feuchtmüller, Ferdinand Georg Waldmüller 1793-1865. Leben – Schriften – Werke, 1996, Nr. 663";Ferdinand Georg Waldmüller;;1841;0;1
308708;Magnasco, Alessandro [Künstler:in];Mythologische Szene;;"An einem Tisch links sitzt eine Frauengestalt und greift nach einer Schale, die ein ihr rechts gegenüber sitzender Jüngling im rotem Mantel reicht. Im Hintergrund figürliches Beiwerk. Goldrahmen. Gutachten: van Marle (""…zeigt den Meister in seiner besten skizzenhaften Manier..."").";Alessandro Magnasco;Q516941;0;0;1
308725;;Ruinenlandschaft;;"Im Vordergrund rechts unter Trümmern eines Tempels und links eine hohe Korinthische Säule. Darunter fünf Männer im Gespräch. Rechts hinten ein Rundtempel, der von einer Pyramide überragt wird. Goldrahmen. Gutachten: Voß (""…echte charakteristische Arbeit...von besonders effektvollem kompositionellem Aufbau und vorzüglicher Erhaltung""). 28.5.1929.";;Q85221364;0;0;1
583609;Hondekoeter, Melchior de (zugeschrieben) [Künstler:in];Hühnerhof;;Ein krähender Hahn in aufrecht stehender Haltung, zwei liegende Hühner und eine Schar teils ruhender, teil schwimmender Enten bevölkern den Vorder- und Mittelgrund des Bildes, dessen linke Hälfte sich zu einem gebirgigen Hintergrund öffnet, unbezeichnet;Melchior de Hondekoeter (?);;0;0;1
257570;Pechstein, Max [Künstler:in];Calla, Goldregen und Schwertlilien;1918 [Datierung];;Max Pechstein;Q162105;1918;0;1
585266;Rigaud, Hyacinthe [Künstler:in];Portret van Kardinaal de Fleury / Porträt Kardinal de Fleury;;Auf der Rückseite Aufkleber mit Inventarnummer und Siegel.;Hyacinthe Rigaud;Q49898;0;0;1
586956;Achenbach, Andreas [Künstler:in];Mondaufgang hinter herbstlichem Wald;1839 [Datierung];im Vordergrund vereinzelte alte Eichen, davor niederes Buschwerk und Wassertümpel. Bezeichnet: A. Achenbach 1839. G. R.;Andreas Achenbach;Q76416;1839;0;1
595962;Dorne, Martin van [Künstler:in];"Bloemstuk (Bloemen; Fleurs) / Blumenstück";1770 [Datierung];"Blumenstück. Auf weißem Grunde, der in der Art eines mit Rokaillen geschnitzten Paneels behandelt ist, hängt oben ein Bündel von Trauben, Pfirsichen, Johannesbeeren, unten ein Gewinde von Rosen, Tulpen, Winden und anderen Blumen; Signiert und datiert: M. van Dorne, Lova F. 1770; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Martin van Dorne;Q5069286;1770;0;1
584383;Canaletto, Antonio [Künstler:in];La riva degli Schiavoni;;"Der Molo: mit dem Herzoglichen Palast und dem Gefängnis.Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";Antonio Canaletto;;0;0;1
585620;"Santi, Raffaello (Raffael) (School of (Raphael)) [Künstler:in]
Salvi, Giovanni Battista [Künstler:in]";De heilige familie (Aanbidding) / Heilige Familie;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;;;0;0;1
576172;Rijn, Rembrandt Harmensz. van (Nachfolger?) [Künstler:in];Die Zerstörung von Sodom und Gomorra;;"signiert; mit Lot und den 2 Töchtern von einem Engel aus dem Wald geführt. Im Hintergrund die brennende Stadt, nebst der zur Salzsäule erstarrten Frau Lots Quelle: WGA Akte";Rembrandt Harmensz van Nachfolger Rijn (?);;0;0;1
586411;Avigdor, René (?) [Künstler:in];Damenbildnis;;signiert;René Avigdor (?);Q50747256;0;0;1
586505;"Victors, Jan [Künstler:in]
Victors, Jacobus [Künstler:in]";Vrouw in hoenderhof / Frau im Innenhof;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;;;0;0;1
585188;Neer, Aert van der (der Ältere) [Künstler:in];"Riviergezicht in volle maan; Maanlandschap / Mondscheinlandschaft";;"signiert (monogrammiert); auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Aert van der Neer the Elder;;0;0;1
308011;Vermeer, Barent [Künstler:in];Stillleben;;Auf reliefiertem Sockel bunte Decke, Muschel- und Renaissance-Prunkvase, Flöte, Blumenschale und Blumen in buntem Durcheinander von Braun, Rot, Blau und Grau. Goldrahmen.;Barent Vermeer;;0;0;1
576279;Sterrer, Karl [Künstler:in];Donau bei Greifenstein;;"Quellen: Abschrift der Sammlung Heinrich Rieger aus dem Notariatsakt vom 29. Juli 1921. In: AT - BDA, K 44/3, PM Rieger, Heinrich, 1920 - 1925.; Versicherungsliste 1935. In: AT - WStLA, MA 8, Archiv des Wiener Künstlerhauses. Herbstausstellung 1935.";Karl Sterrer;Q660791;0;0;1
310435;Leistikow, Walter [Künstler:in];Wolkenschatten / Thüringische Landschaft;1902 (um) [Datierung];links unten: W. Leistikow;Walter Leistikow;Q573668;0;1902;1
405718;Krüger, Franz [Künstler:in];Kaiser Alexander I.;;;Franz Krüger;Q568298;0;0;1
452430;Liebermann, Max [Künstler:in];"Fahnenträger der ""St. Georgschützen"" aus dem Jahre 1627";1876 [Datierung];Kopie nach Frans Hals, wahrscheinlich Nachlass-Stempel;Max Liebermann;Q158062;1876;0;1
591209;;Stillleben;;;;Q85221364;0;0;1
580659;Hübner, Ulrich [Künstler:in];Der Dom zu Lübeck;;;Ulrich Hübner;Q877843;0;0;1
586782;Nemec, Karel (1879) [Künstler:in];Landschaft;;;Karel Nemec;;0;0;1
584386;Canaletto, Antonio [Künstler:in];Venetie / Venedig;;"Venidig Vedute.Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";Antonio Canaletto;;0;0;1
573853;Bol, Ferdinand [Künstler:in];Männerbildnis;1650 [Datierung];Lebensgroßes Brustbild eines vornehmen Mannes in den mittleren Jahren mit rötlichblonder Lockenfrisur, strenges, volles Gesicht, der Blick auf den Beschauer gerichtet. Schwarzer Leibrock, breiter, weißer Kragen. Die linke Hand legt sich leicht an die Brust. Rechts bezeichnet F. Bol 1650. Quelle: Lempertz Auktion, Gemälde Alter Meister, Porzellan / Fayence, Katalog 403, Lot 3;Ferdinand Bol;Q374039;1650;0;1
271795;Aschheim, Isidor [Künstler:in];Dorfstraße;;derzeit keine weiteren Angaben verfügbar;Isidor Aschheim;;0;0;1
591819;Corinth, Lovis [Künstler:in];Nacktes Kind / Kinderakt / Blondes Baby;1904 [Datierung];bezeichnet rechts oben: Lovis Corinth;Lovis Corinth;Q157610;1904;0;1
579007;"Hamilton, Johann Georg de (?) [Künstler:in]
Hamilton, Philipp Ferdinand de (?) [Künstler:in]";hellbrauner Mastiff mit Prunkhalsband;1730 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;;;1730;0;1
475814;Krüger, Franz [Künstler:in];Nach der Jagd (Heimkehr von der Hasenjagd);1818 [Datierung];andere Fassung mit sehcs Hunden in den Staatlichen Museen zu Berlin, Nationalgalerie;Franz Krüger;Q568298;1818;0;1
584761;Goya y Lucientes, Francisco José de [Künstler:in];Dame in het wit met roos (Damesportret) / Dame in Weiß mit Rose;;;Francisco José de Goya y Lucientes;;0;0;1
534382;Linde-Walther, Heinrich [Künstler:in];Kinder beim Essen;;Quelle: PL - AP Wrocław, RW, I/16886.;Heinrich Linde-Walther;;0;0;1
591197;Brožík, Václav [Künstler:in];Portrait seiner Frau [Hermina [Mina] Brozik, nee Sedelmeyer?];;die sich vor ihrem Frisiertisch auszieht, man sieht ihren Rücken und im Spiegel ihr Gesicht;Václav Brožík;Q740396;0;0;1
579003;Hamilton, Johann Georg de [Künstler:in];Vorstehhund mit Wachtel;1730 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;1730;0;1
581558;Blechen, Karl [Künstler:in];Italienische Kapuzinerprozession;;Italienische Kapuzinerprozession in einem Kreuzgang. Ausgestellt in der Kunsthalle Bern Mai/Juni 1940;Karl Blechen;;0;0;1
589423;Slevogt, Max [Künstler:in];Pfälzische Landschaft;Undatiert [Datierung];"unsigniert und undatiert; Gemälde mit Goldrahmen;„Darstellung Slevogts einer menschenleeren Landschaft seiner Wahlheimat, der Pfalz. Von der linken unteren Bildecke zieht sich ein gerade Weg bis zum Horizont. Neben dem Weg liegen große Felsbrocken oder Erdhäufen. Im rechten Hintergrund dicht beieinander stehende Bäume und zwei Vögel, die ihre Kreise ziehen. Über die Hälfte der Bildfläche wird von einem wolkigen Himmel eingenommen“.";Max Slevogt;Q703356;Undatiert;0;1
578963;Hamilton, Johann Georg de [Künstler:in];Beginn einer Hetzjagd auf Hasen;1707 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;1707;0;1
